Case Number,address_id,agency,attendees,contact_date,contact_method,contact_type,context,notes,worker,worker_organisation
SAMPLE-003,,,,15/08/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,21/08/2024 00:00,SMS (to other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,22/08/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,22/08/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,28/08/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,01/09/2024 00:00,Phone (to client),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,04/09/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,04/09/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,12/09/2024 00:00,Face to Face,Engagement Contact,With,sample answer,Worker C,
SAMPLE-003,,,,18/09/2024 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,18/09/2024 00:00,SMS (from other),Letter/Email/Text Advovacy,About,sample answer,Worker C,
SAMPLE-003,,,,19/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Email (to other),Police Intelligence,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Email (to other),Referral,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (from other),Telephone In,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (from other),Telephone In,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (to client),Telephone Out,With,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,22/09/2024 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
